ddl_case_id,year,state_code,dist_code,court_no,cino,judge_position,female_defendant,female_petitioner,female_adv_def,female_adv_pet,type_name,purpose_name,disp_name,date_of_filing,date_of_decision,date_first_list,date_last_list,date_next_list
01-01-01-201908000172010,2010,1,1,1,MHNB030000482010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,4946.0,25,2010-01-20,2012-10-19,2010-04-20,2012-09-13,2012-10-19
01-01-01-201908000182010,2010,1,1,1,MHNB030000772010,chief judicial magistrate,0 male,1 female,-9999,0,1429,4882.0,15,2010-01-29,2011-08-09,2010-01-29,2011-07-21,2011-08-09
01-01-01-201908000192010,2010,1,1,1,MHNB030000932010,chief judicial magistrate,0 male,1 female,-9999,0,1429,4834.0,25,2010-02-01,2014-12-12,2010-03-02,2014-12-08,2014-12-12
01-01-01-201908000202010,2010,1,1,1,MHNB030003002010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3734.0,25,2010-02-03,2011-09-26,2010-04-15,2011-09-20,2011-09-26
01-01-01-201908000212010,2010,1,1,1,MHNB030001042010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627.0,25,2010-02-05,2011-01-01,2010-02-05,2010-12-18,2011-01-01
01-01-01-201908000222010,2010,1,1,1,MHNB030001202010,chief judicial magistrate,0 male,1 female,1,-9998,1429,509.0,30,2010-02-09,2011-05-23,2010-02-09,2011-04-29,2011-05-23
01-01-01-201908000232010,2010,1,1,1,MHNB030001252010,chief judicial magistrate,-9998 unclear,0 male,-9998,-9998,1429,2237.0,25,2010-02-11,2010-04-28,2010-02-18,2010-04-27,2010-04-28
01-01-01-201908000242010,2010,1,1,1,MHNB030001272010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,3627.0,22,2010-02-11,2013-07-01,2010-03-11,2013-06-12,2013-07-01
01-01-01-201908000252010,2010,1,1,1,MHNB030001372010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627.0,25,2010-02-15,2013-01-29,2010-03-15,2012-12-26,2013-01-29
01-01-01-201908000262010,2010,1,1,1,MHNB030001452010,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1429,3734.0,25,2010-02-15,2010-02-20,2010-02-17,2010-02-17,2010-02-20
01-01-01-201908000272010,2010,1,1,1,MHNB030001492010,chief judicial magistrate,-9998 unclear,1 female,-9999,-9998,1429,3627.0,25,2010-02-18,2010-03-20,2010-02-22,2010-03-05,2010-03-20
01-01-01-201908000282010,2010,1,1,1,MHNB030001802010,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1429,2237.0,25,2010-02-23,2010-02-26,2010-02-25,2010-02-25,2010-02-26
01-01-01-201908000292010,2010,1,1,1,MHNB030001902010,chief judicial magistrate,0 male,1 female,0,1,1429,3006.0,30,2010-02-25,2010-12-01,2010-03-18,2010-11-29,2010-12-01
01-01-01-201908000302010,2010,1,1,1,MHNB030002982010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,3734.0,25,2010-02-26,2011-01-17,2010-04-12,2011-01-12,2011-01-17
01-01-01-201908000322010,2010,1,1,1,MHNB030002992010,chief judicial magistrate,0 male,1 female,0,-9998,1429,3280.0,30,2010-03-03,2013-12-16,2010-04-15,2013-11-16,2013-12-16
01-01-01-201908000332010,2010,1,1,1,MHNB030001992010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,1985.0,22,2010-03-04,2010-10-13,2010-03-26,2010-09-30,2010-10-13
01-01-01-201908000342010,2010,1,1,1,MHNB030002332010,chief judicial magistrate,1 female,1 female,-9999,0,1429,3627.0,22,2010-03-17,2013-10-19,2010-04-17,2013-10-11,2013-10-19
01-01-01-201908000352010,2010,1,1,1,MHNB030002532010,chief judicial magistrate,-9998 unclear,0 male,-9998,1,1429,2237.0,25,2010-03-17,2010-03-29,2010-03-19,2010-03-23,2010-03-26
01-01-01-201908000362010,2010,1,1,1,MHNB030003082010,chief judicial magistrate,0 male,1 female,0,-9998,1429,509.0,30,2010-03-25,2011-12-12,2010-04-30,2011-12-08,2011-12-12
01-01-01-201908000382010,2010,1,1,1,MHNB030003092010,chief judicial magistrate,0 male,1 female,0,1,1429,3734.0,25,2010-03-29,2011-10-15,2010-04-30,2011-09-18,2011-10-15
01-01-01-201908000392010,2010,1,1,1,MHNB030002562010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006.0,25,2010-03-30,2011-05-09,2010-04-23,2011-04-15,2011-05-09
01-01-01-201908000402010,2010,1,1,1,MHNB030003742010,chief judicial magistrate,0 male,-9998 unclear,0,-9998,1429,509.0,25,2010-04-06,2010-07-27,2010-04-22,2010-07-09,2010-07-27
01-01-01-201908000412010,2010,1,1,1,MHNB030004462010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,4882.0,22,2010-04-06,2011-08-29,2010-05-17,2011-08-03,2011-08-29
01-01-01-201908000422010,2010,1,1,1,MHNB030002962010,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1429,2237.0,25,2010-04-06,2010-04-08,2010-04-08,2010-04-08,2010-04-08
01-01-01-201908000432010,2010,1,1,1,MHNB030002922010,chief judicial magistrate,0 male,1 female,-9999,0,1429,1963.0,43,2010-04-07,2012-10-19,2010-04-07,2012-10-01,2012-10-19
01-01-01-201908000442010,2010,1,1,1,MHNB030002972010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627.0,22,2010-04-07,2011-07-25,2010-04-12,2011-06-23,2011-07-25
01-01-01-201908000452010,2010,1,1,1,MHNB030003182010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006.0,30,2010-04-08,2011-03-19,2010-04-21,2011-03-16,2011-03-19
01-01-01-201908000462010,2010,1,1,1,MHNB030003112010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3734.0,22,2010-04-08,2013-06-27,2010-04-30,2013-06-14,2013-06-27
