ddl_case_id,year,state_code,dist_code,court_no,cino,judge_position,female_defendant,female_petitioner,female_adv_def,female_adv_pet,type_name,purpose_name,disp_name,date_of_filing,date_of_decision,date_first_list,date_last_list,date_next_list
01-01-01-201908000412014,2014,1,1,1,MHNB030001922014,chief judicial magistrate,0 male,1 female,-9999,-9998,1907.0,6304.0,25,2014-02-05,2015-07-27,2014-02-05,2015-07-02,2015-07-27
01-01-01-201908000422014,2014,1,1,1,MHNB030001932014,chief judicial magistrate,0 male,1 female,-9999,-9998,1907.0,5487.0,25,2014-02-05,2014-02-05,2014-02-05,2014-02-05,2014-02-05
01-01-01-201908000432014,2014,1,1,1,MHNB030001942014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,2506.0,51,2014-02-05,2015-09-28,2014-02-05,2015-09-05,2015-09-28
01-01-01-201908000442014,2014,1,1,1,MHNB030001962014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,5487.0,25,2014-02-06,2017-03-01,2014-02-06,2017-03-01,2017-03-01
01-01-01-201908000452014,2014,1,1,1,MHNB030002172014,chief judicial magistrate,0 male,0 male,-9999,0,1907.0,5487.0,25,2014-02-06,2014-02-17,2014-02-06,2014-02-14,2014-02-17
01-01-01-201908000462014,2014,1,1,1,MHNB030001972014,chief judicial magistrate,1 female,0 male,-9999,0,1907.0,5487.0,25,2014-02-06,2014-02-06,2014-02-06,2014-02-06,2014-02-06
01-01-01-201908000472014,2014,1,1,1,MHNB030001982014,chief judicial magistrate,0 male,0 male,-9999,1,1907.0,5487.0,43,2014-02-06,2014-10-07,2014-02-06,2014-09-03,2014-10-07
01-01-01-201908000482014,2014,1,1,1,MHNB030002072014,chief judicial magistrate,0 male,1 female,-9999,1,1907.0,5487.0,25,2014-02-10,2014-02-13,2014-02-10,2014-02-10,2014-02-13
01-01-01-201908000492014,2014,1,1,1,MHNB030002122014,chief judicial magistrate,-9998 unclear,0 male,-9999,0,1907.0,5487.0,30,2014-02-11,2014-04-19,2014-02-11,2014-03-07,2014-04-19
01-01-01-201908000502014,2014,1,1,1,MHNB030002082014,chief judicial magistrate,0 male,-9998 unclear,0,0,1907.0,7161.0,20,2014-02-12,2018-12-07,2014-02-12,2018-12-07,2018-12-07
01-01-01-201908000512014,2014,1,1,1,MHNB030002192014,chief judicial magistrate,0 male,1 female,0,0,1907.0,4823.0,30,2014-02-15,2015-08-11,2014-02-15,2015-08-07,2015-08-11
01-01-01-201908000522014,2014,1,1,1,MHNB030002282014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,6304.0,40,2014-02-17,2018-01-15,2014-02-17,2018-01-15,2018-01-15
