case_id,case_number,filing_date,registration_date,case_type,nature_of_case,district,state,court_name,court_name_level,adjournments_count,petitioner_count,respondent_count,last_hearing_date,next_hearing_date,status
SC-2024-0013,SLP (Criminal) - BAIL No. 7290 of 2015,2015-05-11,2015-05-11,SLP (Criminal) - BAIL,ELEVATED RISK,New Delhi,Karnataka,Supreme Court of India,Apex Court,49,6,7,2026-06-15,2026-07-23,Adjourned
SC-2024-0014,SLP (Criminal) - BAIL No. 8317 of 2018,2018-03-22,2018-03-22,SLP (Criminal) - BAIL,ELEVATED RISK,New Delhi,Gujarat,Supreme Court of India,Apex Court,46,4,7,2026-06-28,2026-08-13,Adjourned
SC-2024-0015,Writ Petition No. 1097 of 2017,2017-06-03,2017-06-03,Writ Petition,ELEVATED RISK,New Delhi,Maharashtra,Supreme Court of India,Apex Court,37,4,6,2026-07-09,2026-08-06,Adjourned
SC-2024-0016,Transfer Petition No. 6573 of 2022,2024-06-05,2024-06-05,Transfer Petition,General Litigation,New Delhi,Delhi,Supreme Court of India,Apex Court,1,3,9,2026-06-28,2026-08-11,Adjourned
SC-2024-0017,Writ Petition No. 5239 of 2023,2025-08-19,2025-08-19,Writ Petition,General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,10,5,1,2026-06-13,2026-07-16,Pending
SC-2024-0018,Civil Appeal No. 3691 of 2023,2024-10-04,2024-10-04,Civil Appeal,General Litigation,New Delhi,Karnataka,Supreme Court of India,Apex Court,3,2,7,2026-06-22,2026-08-18,Adjourned
SC-2024-0019,Civil Appeal No. 1127 of 2023,2024-09-08,2024-09-08,Civil Appeal,General Litigation,New Delhi,Maharashtra,Supreme Court of India,Apex Court,10,1,3,2026-06-17,2026-09-06,Pending
SC-2024-0020,SLP (Criminal) No. 4426 of 2023,2026-01-02,2026-01-02,SLP (Criminal),General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,6,2,8,2026-06-13,2026-09-05,Heard/Reserved
SC-2024-0021,SLP (Civil) No. 4752 of 2021,2025-09-29,2025-09-29,SLP (Civil),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,0,3,1,2026-07-04,2026-07-22,Adjourned
SC-2024-0022,Civil Appeal No. 2773 of 2023,2026-01-18,2026-01-18,Civil Appeal,General Litigation,New Delhi,Gujarat,Supreme Court of India,Apex Court,5,3,1,2026-06-22,2026-09-03,Adjourned
SC-2024-0023,SLP (Criminal) No. 2727 of 2022,2024-07-05,2024-07-05,SLP (Criminal),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,6,3,4,2026-06-16,2026-07-24,Pending
SC-2024-0024,Criminal Appeal No. 1092 of 2021,2025-10-18,2025-10-18,Criminal Appeal,General Litigation,New Delhi,Karnataka,Supreme Court of India,Apex Court,6,3,4,2026-06-13,2026-08-26,Heard/Reserved
SC-2024-0025,Writ Petition No. 3572 of 2021,2025-04-18,2025-04-18,Writ Petition,General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,8,1,2,2026-06-29,2026-07-14,Heard/Reserved
SC-2024-0026,SLP (Civil) No. 1719 of 2022,2025-04-21,2025-04-21,SLP (Civil),General Litigation,New Delhi,Karnataka,Supreme Court of India,Apex Court,9,1,1,2026-06-23,2026-07-19,Adjourned
SC-2024-0027,SLP (Criminal) No. 3599 of 2024,2024-10-11,2024-10-11,SLP (Criminal),General Litigation,New Delhi,Karnataka,Supreme Court of India,Apex Court,4,5,5,2026-06-26,2026-08-13,Pending
SC-2024-0028,Criminal Appeal No. 3227 of 2021,2024-07-26,2024-07-26,Criminal Appeal,General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,5,3,2,2026-06-15,2026-08-30,Adjourned
SC-2024-0029,SLP (Civil) No. 4167 of 2021,2025-11-04,2025-11-04,SLP (Civil),General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,6,5,3,2026-07-05,2026-07-28,Heard/Reserved
SC-2024-0030,SLP (Criminal) No. 3995 of 2021,2026-05-22,2026-05-22,SLP (Criminal),General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,4,1,4,2026-06-12,2026-09-08,Heard/Reserved
SC-2024-0031,Transfer Petition No. 7028 of 2024,2025-07-24,2025-07-24,Transfer Petition,General Litigation,New Delhi,Gujarat,Supreme Court of India,Apex Court,1,2,4,2026-07-09,2026-07-24,Adjourned
SC-2024-0032,Criminal Appeal No. 9213 of 2021,2026-06-02,2026-06-02,Criminal Appeal,General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,1,5,1,2026-07-05,2026-07-14,Adjourned
SC-2024-0033,Civil Appeal No. 7127 of 2021,2025-12-07,2025-12-07,Civil Appeal,General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,4,4,5,2026-06-12,2026-07-28,Pending
SC-2024-0034,SLP (Civil) No. 7337 of 2023,2025-01-07,2025-01-07,SLP (Civil),General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,1,5,10,2026-06-12,2026-08-18,Pending
SC-2024-0035,Criminal Appeal No. 3658 of 2023,2026-03-26,2026-03-26,Criminal Appeal,General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,8,4,6,2026-07-01,2026-07-16,Pending
SC-2024-0036,SLP (Criminal) No. 6196 of 2023,2024-11-05,2024-11-05,SLP (Criminal),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,8,3,7,2026-06-14,2026-09-06,Pending
SC-2024-0037,SLP (Civil) No. 3872 of 2021,2024-09-17,2024-09-17,SLP (Civil),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,1,4,1,2026-06-12,2026-08-21,Heard/Reserved
SC-2024-0038,Civil Appeal No. 9587 of 2022,2024-09-13,2024-09-13,Civil Appeal,General Litigation,New Delhi,Maharashtra,Supreme Court of India,Apex Court,0,5,3,2026-06-21,2026-08-14,Heard/Reserved
SC-2024-0039,Criminal Appeal No. 9983 of 2024,2026-03-15,2026-03-15,Criminal Appeal,General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,5,5,7,2026-07-01,2026-08-05,Heard/Reserved
SC-2024-0040,Transfer Petition No. 1214 of 2024,2024-08-09,2024-08-09,Transfer Petition,General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,10,4,8,2026-06-11,2026-08-21,Pending
SC-2024-0041,Criminal Appeal No. 5833 of 2024,2025-09-22,2025-09-22,Criminal Appeal,General Litigation,New Delhi,Delhi,Supreme Court of India,Apex Court,9,4,5,2026-06-14,2026-07-24,Heard/Reserved
SC-2024-0042,Civil Appeal No. 5423 of 2023,2025-11-08,2025-11-08,Civil Appeal,General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,6,5,7,2026-06-29,2026-07-13,Adjourned
SC-2024-0043,Criminal Appeal No. 6067 of 2022,2025-06-16,2025-06-16,Criminal Appeal,General Litigation,New Delhi,Karnataka,Supreme Court of India,Apex Court,4,5,1,2026-06-29,2026-08-21,Heard/Reserved
SC-2024-0044,SLP (Civil) No. 3355 of 2021,2026-02-08,2026-02-08,SLP (Civil),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,1,4,1,2026-06-22,2026-09-08,Adjourned
SC-2024-0045,Civil Appeal No. 4481 of 2021,2024-06-04,2024-06-04,Civil Appeal,General Litigation,New Delhi,Delhi,Supreme Court of India,Apex Court,7,4,7,2026-06-24,2026-08-02,Heard/Reserved
SC-2024-0046,SLP (Civil) No. 6151 of 2023,2025-07-02,2025-07-02,SLP (Civil),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,9,3,5,2026-07-02,2026-08-15,Pending
SC-2024-0047,SLP (Civil) No. 4635 of 2024,2025-06-17,2025-06-17,SLP (Civil),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,8,1,5,2026-07-05,2026-08-23,Adjourned
SC-2024-0048,Civil Appeal No. 9073 of 2024,2025-05-06,2025-05-06,Civil Appeal,General Litigation,New Delhi,Delhi,Supreme Court of India,Apex Court,8,1,2,2026-07-06,2026-08-27,Pending
SC-2024-0049,SLP (Criminal) No. 1993 of 2023,2024-10-03,2024-10-03,SLP (Criminal),General Litigation,New Delhi,Maharashtra,Supreme Court of India,Apex Court,0,2,9,2026-06-24,2026-08-07,Adjourned
SC-2024-0050,Transfer Petition No. 3717 of 2022,2024-06-09,2024-06-09,Transfer Petition,General Litigation,New Delhi,Delhi,Supreme Court of India,Apex Court,3,2,7,2026-06-23,2026-08-26,Pending
SC-2024-0051,SLP (Civil) No. 4501 of 2024,2026-01-03,2026-01-03,SLP (Civil),General Litigation,New Delhi,Karnataka,Supreme Court of India,Apex Court,0,1,6,2026-06-29,2026-07-21,Pending
SC-2024-0052,Criminal Appeal No. 8438 of 2021,2024-05-05,2024-05-05,Criminal Appeal,General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,1,1,7,2026-06-16,2026-07-19,Adjourned
SC-2024-0053,SLP (Criminal) No. 5578 of 2021,2024-07-25,2024-07-25,SLP (Criminal),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,8,1,8,2026-06-16,2026-09-07,Adjourned
SC-2024-0054,Civil Appeal No. 6088 of 2022,2025-09-16,2025-09-16,Civil Appeal,General Litigation,New Delhi,Delhi,Supreme Court of India,Apex Court,10,3,4,2026-06-17,2026-07-16,Heard/Reserved
SC-2024-0055,Civil Appeal No. 9220 of 2024,2024-07-02,2024-07-02,Civil Appeal,General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,3,1,9,2026-06-28,2026-07-22,Heard/Reserved
SC-2024-0056,Writ Petition No. 5712 of 2022,2025-08-22,2025-08-22,Writ Petition,General Litigation,New Delhi,Gujarat,Supreme Court of India,Apex Court,8,1,3,2026-06-13,2026-08-07,Adjourned
SC-2024-0057,SLP (Civil) No. 2798 of 2022,2025-10-18,2025-10-18,SLP (Civil),General Litigation,New Delhi,Gujarat,Supreme Court of India,Apex Court,8,1,8,2026-06-24,2026-09-02,Adjourned
SC-2024-0058,SLP (Civil) No. 6561 of 2022,2026-04-16,2026-04-16,SLP (Civil),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,2,1,9,2026-06-14,2026-07-15,Adjourned
SC-2024-0059,Writ Petition No. 9775 of 2021,2025-07-19,2025-07-19,Writ Petition,General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,4,4,5,2026-06-25,2026-07-24,Adjourned
SC-2024-0060,Civil Appeal No. 3316 of 2022,2025-03-23,2025-03-23,Civil Appeal,General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,0,1,7,2026-06-18,2026-08-26,Pending
SC-2024-0061,Transfer Petition No. 8416 of 2024,2025-04-12,2025-04-12,Transfer Petition,General Litigation,New Delhi,Karnataka,Supreme Court of India,Apex Court,10,2,8,2026-07-03,2026-08-25,Pending
SC-2024-0062,SLP (Criminal) No. 4015 of 2022,2024-05-22,2024-05-22,SLP (Criminal),General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,4,1,2,2026-06-16,2026-08-24,Pending
SC-2024-0063,Criminal Appeal No. 9410 of 2023,2026-06-07,2026-06-07,Criminal Appeal,General Litigation,New Delhi,Delhi,Supreme Court of India,Apex Court,9,4,7,2026-06-22,2026-07-15,Heard/Reserved
SC-2024-0064,Civil Appeal No. 7671 of 2023,2025-11-19,2025-11-19,Civil Appeal,General Litigation,New Delhi,Maharashtra,Supreme Court of India,Apex Court,8,5,7,2026-06-28,2026-09-03,Heard/Reserved
SC-2024-0065,Criminal Appeal No. 8832 of 2022,2024-05-03,2024-05-03,Criminal Appeal,General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,6,2,9,2026-06-12,2026-07-19,Adjourned
SC-2024-0066,Writ Petition No. 9457 of 2023,2025-11-22,2025-11-22,Writ Petition,General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,0,5,6,2026-06-27,2026-07-19,Pending
SC-2024-0067,SLP (Civil) No. 4294 of 2021,2025-01-24,2025-01-24,SLP (Civil),General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,2,1,5,2026-06-28,2026-09-03,Adjourned
SC-2024-0068,Civil Appeal No. 9645 of 2024,2025-11-05,2025-11-05,Civil Appeal,General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,3,3,5,2026-06-20,2026-08-11,Adjourned
SC-2024-0069,Writ Petition No. 3283 of 2024,2025-02-11,2025-02-11,Writ Petition,General Litigation,New Delhi,Gujarat,Supreme Court of India,Apex Court,10,3,10,2026-06-26,2026-08-27,Adjourned
SC-2024-0070,SLP (Criminal) No. 8332 of 2024,2024-09-19,2024-09-19,SLP (Criminal),General Litigation,New Delhi,Maharashtra,Supreme Court of India,Apex Court,5,5,3,2026-06-27,2026-07-27,Heard/Reserved
SC-2024-0071,SLP (Civil) No. 6404 of 2022,2025-10-15,2025-10-15,SLP (Civil),General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,3,2,7,2026-07-02,2026-07-31,Adjourned
SC-2024-0072,Writ Petition No. 4255 of 2024,2025-09-07,2025-09-07,Writ Petition,General Litigation,New Delhi,Delhi,Supreme Court of India,Apex Court,6,3,1,2026-06-21,2026-07-12,Pending
SC-2024-0073,SLP (Criminal) No. 3524 of 2024,2026-01-07,2026-01-07,SLP (Criminal),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,5,2,7,2026-06-18,2026-08-20,Heard/Reserved
SC-2024-0074,Transfer Petition No. 3816 of 2021,2025-04-18,2025-04-18,Transfer Petition,General Litigation,New Delhi,Karnataka,Supreme Court of India,Apex Court,5,3,9,2026-06-14,2026-07-25,Heard/Reserved
SC-2024-0075,Civil Appeal No. 4905 of 2022,2024-10-29,2024-10-29,Civil Appeal,General Litigation,New Delhi,Gujarat,Supreme Court of India,Apex Court,0,3,9,2026-06-27,2026-09-03,Adjourned
SC-2024-0076,Transfer Petition No. 6335 of 2021,2026-03-28,2026-03-28,Transfer Petition,General Litigation,New Delhi,Maharashtra,Supreme Court of India,Apex Court,5,1,4,2026-07-04,2026-07-29,Heard/Reserved
SC-2024-0077,SLP (Criminal) No. 1086 of 2021,2025-08-21,2025-08-21,SLP (Criminal),General Litigation,New Delhi,Maharashtra,Supreme Court of India,Apex Court,4,5,7,2026-07-07,2026-08-30,Adjourned
SC-2024-0078,SLP (Criminal) No. 3382 of 2023,2025-10-28,2025-10-28,SLP (Criminal),General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,5,5,3,2026-06-30,2026-08-08,Heard/Reserved
SC-2024-0079,Criminal Appeal No. 6761 of 2021,2026-05-09,2026-05-09,Criminal Appeal,General Litigation,New Delhi,Delhi,Supreme Court of India,Apex Court,6,1,7,2026-06-13,2026-08-20,Heard/Reserved
SC-2024-0080,SLP (Civil) No. 3317 of 2023,2025-09-03,2025-09-03,SLP (Civil),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,3,3,10,2026-06-10,2026-07-25,Heard/Reserved
SC-2024-0081,Transfer Petition No. 1249 of 2024,2024-08-20,2024-08-20,Transfer Petition,General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,4,4,2,2026-07-04,2026-08-31,Pending
SC-2024-0082,Transfer Petition No. 9922 of 2022,2024-07-18,2024-07-18,Transfer Petition,General Litigation,New Delhi,Gujarat,Supreme Court of India,Apex Court,6,2,6,2026-06-26,2026-07-13,Pending
SC-2024-0083,SLP (Civil) No. 1677 of 2024,2025-02-02,2025-02-02,SLP (Civil),General Litigation,New Delhi,Delhi,Supreme Court of India,Apex Court,10,4,9,2026-06-30,2026-08-18,Heard/Reserved
SC-2024-0084,Criminal Appeal No. 9234 of 2021,2025-08-14,2025-08-14,Criminal Appeal,General Litigation,New Delhi,Gujarat,Supreme Court of India,Apex Court,5,3,2,2026-06-10,2026-07-20,Adjourned
SC-2024-0085,Transfer Petition No. 1600 of 2021,2024-08-20,2024-08-20,Transfer Petition,General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,7,5,6,2026-06-11,2026-08-09,Heard/Reserved
SC-2024-0086,Civil Appeal No. 2958 of 2021,2025-10-20,2025-10-20,Civil Appeal,General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,8,1,7,2026-06-23,2026-07-11,Heard/Reserved
SC-2024-0087,SLP (Civil) No. 7790 of 2021,2026-05-08,2026-05-08,SLP (Civil),General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,2,3,4,2026-06-12,2026-08-30,Heard/Reserved
SC-2024-0088,Writ Petition No. 5212 of 2022,2025-01-24,2025-01-24,Writ Petition,General Litigation,New Delhi,Delhi,Supreme Court of India,Apex Court,2,3,9,2026-06-10,2026-08-05,Adjourned
SC-2024-0089,Criminal Appeal No. 2957 of 2023,2024-06-24,2024-06-24,Criminal Appeal,General Litigation,New Delhi,West Bengal,Supreme Court of India,Apex Court,3,5,7,2026-06-20,2026-08-02,Adjourned
SC-2024-0090,Transfer Petition No. 7905 of 2024,2024-05-20,2024-05-20,Transfer Petition,General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,5,1,8,2026-06-24,2026-08-28,Pending
SC-2024-0091,Criminal Appeal No. 1812 of 2024,2025-02-27,2025-02-27,Criminal Appeal,General Litigation,New Delhi,Gujarat,Supreme Court of India,Apex Court,3,1,7,2026-06-22,2026-08-03,Adjourned
SC-2024-0092,Civil Appeal No. 8234 of 2024,2025-10-11,2025-10-11,Civil Appeal,General Litigation,New Delhi,Karnataka,Supreme Court of India,Apex Court,5,2,2,2026-06-30,2026-08-26,Adjourned
SC-2024-0093,SLP (Criminal) No. 9929 of 2022,2026-03-25,2026-03-25,SLP (Criminal),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,9,2,10,2026-06-24,2026-07-15,Heard/Reserved
SC-2024-0094,Writ Petition No. 2095 of 2023,2026-02-12,2026-02-12,Writ Petition,General Litigation,New Delhi,Karnataka,Supreme Court of India,Apex Court,8,1,1,2026-06-14,2026-08-23,Heard/Reserved
SC-2024-0095,Writ Petition No. 3488 of 2024,2024-07-11,2024-07-11,Writ Petition,General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,3,5,1,2026-06-18,2026-07-20,Pending
SC-2024-0096,SLP (Criminal) No. 1408 of 2024,2024-06-11,2024-06-11,SLP (Criminal),General Litigation,New Delhi,Karnataka,Supreme Court of India,Apex Court,3,4,9,2026-06-10,2026-08-01,Pending
SC-2024-0097,Civil Appeal No. 5413 of 2023,2025-02-04,2025-02-04,Civil Appeal,General Litigation,New Delhi,Maharashtra,Supreme Court of India,Apex Court,7,3,10,2026-06-23,2026-08-21,Adjourned
SC-2024-0098,SLP (Civil) No. 1541 of 2022,2025-05-20,2025-05-20,SLP (Civil),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,8,3,8,2026-06-18,2026-08-06,Pending
SC-2024-0099,SLP (Civil) No. 3201 of 2021,2026-04-25,2026-04-25,SLP (Civil),General Litigation,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,2,2,8,2026-06-15,2026-08-09,Heard/Reserved
SC-2024-0100,Writ Petition No. 4176 of 2021,2025-03-18,2025-03-18,Writ Petition,General Litigation,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,4,2,5,2026-06-13,2026-07-30,Pending
